group_id	base_group_id	perturbation_level	base_sessions	output_sessions	dropped_sessions	substituted_sessions	rotated_endpoints	jittered_sessions	payload_changed_sessions	background_sessions
ceb_g_1c7f7a9e0ba86c294845	cea_g_0daaa2de1a83830b100f	0.10	55	55	1	3	2	54	53	1
ceb_g_29d1d30d0fe690a6525c	cea_g_0daaa2de1a83830b100f	0.20	55	55	2	1	12	53	53	2
ceb_g_3738dd573e04c445cf11	cea_g_0daaa2de1a83830b100f	0.30	55	55	2	6	16	53	53	2
ceb_g_fbbfe30c76fdbb4e4cf5	cea_g_0daaa2de1a83830b100f	0.40	55	51	7	2	16	48	48	3
ceb_g_1114f8c9c300ee99713f	cea_g_0daaa2de1a83830b100f	0.50	55	56	3	4	25	52	52	4
ceb_g_befd0918f14a113a6319	cea_g_0daaa2de1a83830b100f	0.60	55	55	5	2	33	50	50	5
ceb_g_849c8e348854fc942c9e	cea_g_0db6ee360a65e83e8552	0.10	56	55	2	1	5	54	53	1
ceb_g_8533c0ca8231b3b9f70a	cea_g_0db6ee360a65e83e8552	0.20	56	53	5	0	6	51	51	2
ceb_g_f131dc45bc3dbd3b1a72	cea_g_0db6ee360a65e83e8552	0.30	56	58	1	2	15	55	53	3
ceb_g_ccfd63542cfc88678236	cea_g_0db6ee360a65e83e8552	0.40	56	56	3	4	23	53	53	3
ceb_g_e98cb012822e5dee6591	cea_g_0db6ee360a65e83e8552	0.50	56	50	10	3	24	46	46	4
ceb_g_aeb25d5c87cd91608f1c	cea_g_0db6ee360a65e83e8552	0.60	56	52	9	5	32	47	47	5
ceb_g_fbac72e429e7cef97b5a	cea_g_0de832a4f8501ccc09aa	0.10	47	48	0	0	1	47	47	1
ceb_g_2d19473e4df4eb9e7204	cea_g_0de832a4f8501ccc09aa	0.20	47	46	2	2	8	45	45	1
ceb_g_4461e52f5f01edbd0e7d	cea_g_0de832a4f8501ccc09aa	0.30	47	46	3	4	10	44	43	2
ceb_g_1b8cbf7dd67e1aae8e53	cea_g_0de832a4f8501ccc09aa	0.40	47	46	4	1	13	43	43	3
ceb_g_07072df1cf6fda347977	cea_g_0de832a4f8501ccc09aa	0.50	47	46	5	3	25	42	42	4
ceb_g_300cedf9171ec8c2c033	cea_g_0de832a4f8501ccc09aa	0.60	47	46	5	4	22	42	42	4
ceb_g_77b8dc752024a97e3a0c	cea_g_0e45a9e1e466846a0d59	0.10	59	58	2	2	5	57	57	1
ceb_g_2e51c6d813aa957a0768	cea_g_0e45a9e1e466846a0d59	0.20	59	61	0	2	10	59	59	2
ceb_g_e97f181a622f56ffd916	cea_g_0e45a9e1e466846a0d59	0.30	59	58	4	2	21	55	55	3
ceb_g_0cb1eccfa0f58bd586a0	cea_g_0e45a9e1e466846a0d59	0.40	59	55	8	2	23	51	51	4
ceb_g_f34596e614c302f3a942	cea_g_0e45a9e1e466846a0d59	0.50	59	58	5	4	32	54	54	4
ceb_g_604cccadf2579bbb440c	cea_g_0e45a9e1e466846a0d59	0.60	59	51	13	1	29	46	46	5
ceb_g_6f54411ad1d74e029490	cea_g_0e77e58aec0a0fd66205	0.10	53	54	0	1	4	53	52	1
ceb_g_30db9187b80c28d54f87	cea_g_0e77e58aec0a0fd66205	0.20	53	49	6	3	10	47	46	2
ceb_g_ac3f7f49a52789c10638	cea_g_0e77e58aec0a0fd66205	0.30	53	52	3	5	10	50	48	2
ceb_g_59371af52d929e81762e	cea_g_0e77e58aec0a0fd66205	0.40	53	51	5	5	17	48	48	3
ceb_g_b66988d4495cc39fccf7	cea_g_0e77e58aec0a0fd66205	0.50	53	52	5	2	22	48	47	4
ceb_g_6e584d4ba092c92a724a	cea_g_0e77e58aec0a0fd66205	0.60	53	53	5	7	30	48	48	5
ceb_g_25cdcc7f6a36a281541c	cea_g_0f22758cf297c0568e3e	0.10	48	48	1	0	6	47	45	1
ceb_g_10929883f9508337a633	cea_g_0f22758cf297c0568e3e	0.20	48	48	1	3	12	47	46	1
ceb_g_7b38d72a3e62035d31c6	cea_g_0f22758cf297c0568e3e	0.30	48	46	4	2	21	44	44	2
ceb_g_8e0bd2c3b99d9e472b70	cea_g_0f22758cf297c0568e3e	0.40	48	49	2	4	20	46	45	3
ceb_g_f923dabf8f38c2485b03	cea_g_0f22758cf297c0568e3e	0.50	48	49	3	3	24	45	45	4
ceb_g_e60784b29755ea070837	cea_g_0f22758cf297c0568e3e	0.60	48	50	2	5	28	46	46	4
ceb_g_31cce1dad4c66f6ce1c5	cea_g_0fe05d9bb0582ddd9fa7	0.10	57	57	1	0	6	56	54	1
ceb_g_2e5ad6c28fbded4585b8	cea_g_0fe05d9bb0582ddd9fa7	0.20	57	57	2	2	9	55	54	2
ceb_g_b3ae22eff9aa18b12799	cea_g_0fe05d9bb0582ddd9fa7	0.30	57	58	2	3	13	55	55	3
ceb_g_11a6aa7d901362edfbb6	cea_g_0fe05d9bb0582ddd9fa7	0.40	57	57	3	6	27	54	54	3
ceb_g_fe08ef437380004cc02e	cea_g_0fe05d9bb0582ddd9fa7	0.50	57	56	5	6	28	52	52	4
ceb_g_27fd0b3ba42ebe811f88	cea_g_0fe05d9bb0582ddd9fa7	0.60	57	54	8	6	25	49	49	5
